Package Name,Size (KB),Percentage of Total Size
libreoffice-core,330092887,4.3700
firefox,233857107,3.0900
glibc-all-langpacks,228747891,3.0300
java-17-openjdk-headless,221441167,2.9300
edk2-aarch64,216111137,2.8600
kernel-core,135358899,1.7900
kernel-core,133108080,1.7600
ibus,117203416,1.5500
llvm-libs,116716560,1.5400
containerd.io,101168184,1.3400
linux-firmware,99158329,1.3100
cldr-emoji-annotation,98675354,1.3000
gcc,86619817,1.1400
mesa-dri-drivers,84137412,1.1100
docker-ce,77927577,1.0300
kernel-devel,72644982,.9600
kernel-devel,70856626,.9300
google-noto-sans-cjk-vf-fonts,64613102,.8500
geolite2-city,62712603,.8300
docker-buildx-plugin,62168336,.8200
docker-compose-plugin,61407998,.8100
webkit2gtk4.1,60765273,.8000
webkitgtk6.0,60623532,.8000
firefox-langpacks,57722650,.7600
python3-libs,57265389,.7500
gnome-user-docs,56056706,.7400
libpinyin-data,51446292,.6800
glibc-gconv-extra,51442372,.6800
podman,50273088,.6600
qt6-qtdeclarative,49002825,.6400
kernel-modules,47443156,.6200
kernel-modules,47159260,.6200
guile22,46403113,.6100
iwlwifi-mvm-firmware,43894286,.5800
ibus-libzhuyin,42306970,.5600
qemu-user-static-mips,39184962,.5100
libicu,37910967,.5000
mesa-vulkan-drivers,37730376,.4900
unicode-ucd,34844147,.4600
frei0r-plugins,33550569,.4400
kernel-modules-core,32377635,.4200
ImageMagick-libs,32050948,.4200
kernel-modules-core,32005704,.4200
docker-ce-cli,31979323,.4200
hplip,31112910,.4100
binutils,30758909,.4000
flite,29792512,.3900
gutenprint,29420134,.3800
cpp,29380495,.3800
speech-dispatcher,28717825,.3800
graphviz,28663497,.3700
libreoffice-help-en,28650461,.3700
libreoffice-calc,28182071,.3700
qt6-qtbase-gui,27918068,.3600
anthy-unicode,27676735,.3600
gstreamer1-plugins-bad-free,27092615,.3500
libvirt-libs,26395279,.3400
qemu-system-aarch64-core,25898940,.3400
amd-gpu-firmware,25734929,.3400
gnome-backgrounds,25515937,.3300
qt5-qtbase-gui,25362862,.3300
systemd,25266842,.3300
libgs,25210282,.3300
qemu-user-static-xtensa,24442756,.3200
util-linux,24403609,.3200
gnome-control-center,23842064,.3100
libgweather4,23411205,.3100
httpd-core,23065600,.3000
openblas-openmp,23020540,.3000
atheros-firmware,22857583,.3000
sane-backends-drivers-cameras,22602345,.2900
gtk3,22340629,.2900
git-core,21835859,.2800
coreutils,21788178,.2800
mythes-en,21736328,.2800
qemu-user-static-ppc,21587632,.2800
javascriptcoregtk4.1,21435918,.2800
javascriptcoregtk6.0,21433076,.2800
sane-backends-drivers-scanners,21193080,.2800
gtk4,21179849,.2800
samba-client-libs,20965212,.2700
qt5-qtdeclarative,20565955,.2700
qemu-user-static-aarch64,20149926,.2600
iptables-libs,20141226,.2600
iso-codes,19327204,.2500
systemd-udev,18914438,.2500
selinux-policy-targeted,18827831,.2400
libphonenumber,18438116,.2400
podman-gvproxy,18053942,.2300
brltty,17581820,.2300
git-core-doc,17251475,.2200
qemu-user-static-sparc,17240888,.2200
orca,16868937,.2200
gstreamer1-plugins-good,16715798,.2200
evolution-data-server,15931110,.2100
glib2,15926097,.2100
docker-ce-rootless-extras,15457264,.2000
gegl04,15356175,.2000
adobe-mappings-cmap,15045977,.1900
python3-pip,14998608,.1900
cups,14811921,.1900
qemu-user-static-arm,14799275,.1900
nautilus,14617256,.1900
selinux-policy-devel,14553009,.1900
rhythmbox,14543347,.1900
pipewire-libs,14453700,.1900
qemu-user-static-riscv,14244292,.1800
mutter,14210579,.1800
lpcnetfreedv,14172419,.1800
gdb-headless,14142804,.1800
appstream-data,13916829,.1800
capstone,13649471,.1800
anaconda-core,13280677,.1700
libreoffice-writer,13181626,.1700
espeak-ng,13125654,.1700
abseil-cpp,13081047,.1700
gstreamer1-plugins-base,13036397,.1700
poppler-data,12947088,.1700
qemu-user-static-x86,12942986,.1700
ModemManager,12813692,.1600
mesa-va-drivers,12702865,.1600
qt6-qtbase,12699624,.1600
liblouis,12603677,.1600
gnome-shell,12554276,.1600
gnupg2,12421367,.1600
mozjs102,12279757,.1600
adwaita-cursor-theme,12103345,.1600
libreoffice-ure,12052436,.1500
gnome-software,12000977,.1500
qt5-qtbase,11948145,.1500
libnl3-cli,11806757,.1500
pam,11723249,.1500
f38-backgrounds-base,11681192,.1500
perl-Encode,11422234,.1500
coreutils-common,11297071,.1400
qemu-user-static-sh4,11184238,.1400
zenity,11181059,.1400
qemu-user-static-microblaze,11073820,.1400
librados2,10840764,.1400
google-noto-emoji-color-fonts,10768525,.1400
qemu-img,10723549,.1400
libgphoto2,10711197,.1400
librbd1,10689931,.1400
tracker-miners,10486641,.1300
evince,10456048,.1300
perl-libs,10369455,.1300
flexiblas-netlib,10239511,.1300
file-libs,10158873,.1300
NetworkManager-libnm,10140481,.1300
brcmfmac-firmware,9988222,.1300
glibc,9985332,.1300
qt5-qtquickcontrols2,9947102,.1300
cracklib-dicts,9725179,.1200
sssd-common,9717380,.1200
qt5-qtwayland,9425581,.1200
qt6-qtwayland,9393116,.1200
gnome-settings-daemon,9322177,.1200
hwdata,9241993,.1200
gnome-terminal,9139591,.1200
netavark,9112864,.1200
totem,9057382,.1100
python3-setuptools,8919455,.1100
libavcodec-free,8761302,.1100
bash,8697516,.1100
intel-gpu-firmware,8652099,.1100
evolution-data-server-langpacks,8633883,.1100
qemu-user-static-hexagon,8562994,.1100
ibus-anthy,8479181,.1100
eog,7987933,.1000
grub2-tools,7853472,.1000
freerdp-libs,7806131,.1000
fwupd,7680683,.1000
open-vm-tools,7668499,.1000
mt7xxx-firmware,7532461,.0900
toolbox,7433194,.0900
shadow-utils,7422859,.0900
gnome-calculator,7404193,.0900
opensc,7396201,.0900
openssl-libs,7350122,.0900
gnome-disk-utility,7212424,.0900
e2fsprogs,7196284,.0900
NetworkManager,7103281,.0900
gstreamer1,7042034,.0900
glusterfs,6991065,.0900
libhangul,6969987,.0900
rygel,6921244,.0900
xkeyboard-config,6882554,.0900
flatpak,6741609,.0800
gdm,6712596,.0800
gnome-boxes,6701269,.0800
btrfs-progs,6688361,.0800
system-config-printer-libs,6569152,.0800
google-droid-sans-fonts,6554442,.0800
grub2-tools-extra,6529620,.0800
wpa_supplicant,6465829,.0800
babl,6404695,.0800
libtimezonemap,6388395,.0800
sudo,6351586,.0800
libmwaw,6342174,.0800
python3-policycoreutils,6250397,.0800
util-linux-core,6182485,.0800
qemu-user-static-s390x,6109800,.0800
kernel-headers,6105382,.0800
grub2-efi-aa64,6097447,.0800
grub2-efi-aa64-cdboot,6096364,.0800
glibc-langpack-en,5974818,.0700
python3-lxml,5963650,.0700
spirv-tools-libs,5950658,.0700
cups-filters,5925636,.0700
ipp-usb,5911910,.0700
qemu-user-static-m68k,5839107,.0700
gtkmm3.0,5782257,.0700
lua-posix,5712481,.0700
qemu-user-static-hppa,5677092,.0700
xorg-x11-server-Xorg,5661761,.0700
qemu-user-static-alpha,5599048,.0700
device-mapper-multipath-libs,5591811,.0700
xfsprogs,5571926,.0700
libqmi,5570949,.0700
qemu-user-static-loongarch64,5549022,.0700
gnome-system-monitor,5535202,.0700
python3-crypto,5533567,.0700
qemu-user-static-cris,5532401,.0700
qemu-user-static-or1k,5515083,.0700
grub2-common,5484886,.0700
bluez,5458777,.0700
qemu-user-static-nios2,5441980,.0700
gtksourceview5,5437046,.0700
openexr-libs,5420441,.0700
shared-mime-info,5415413,.0700
kbd,5401257,.0700
grilo-plugins,5365307,.0700
suitesparse,5283101,.0600
clutter,5282738,.0600
groff-base,5272932,.0600
fedora-workstation-backgrounds,5257885,.0600
gsettings-desktop-schemas,5139411,.0600
nm-connection-editor,5121780,.0600
ibus-typing-booster,5121212,.0600
tcl,5118281,.0600
nvme-cli,5095306,.0600
libxcb,5082054,.0600
gnome-keyring,4983782,.0600
simple-scan,4970557,.0600
python3-cryptography,4969758,.0600
words,4959394,.0600
gnome-maps,4959385,.0600
elfutils,4920474,.0600
tslib,4879780,.0600
python3-libdnf,4845440,.0600
cups-ipptool,4842922,.0600
PackageKit,4778946,.0600
gtksourceview4,4769317,.0600
ntfsprogs,4758138,.0600
libuser,4742580,.0600
colord,4739194,.0600
exiv2,4698119,.0600
man-db,4647264,.0600
adobe-mappings-pdf,4600301,.0600
python3-blivet,4585144,.0600
nfs-utils,4570720,.0600
bind-libs,4566743,.0600
librsvg2,4515170,.0500
libreoffice-xsltfilter,4509049,.0500
nss-softokn,4476163,.0500
gvfs-client,4463431,.0500
highcontrast-icon-theme,4451308,.0500
alsa-utils,4439809,.0500
gnome-desktop3,4432308,.0500
julietaula-montserrat-fonts,4354816,.0500
tpm2-tss,4349990,.0500
python3-pillow,4349039,.0500
abrt,4346929,.0500
gawk,4341610,.0500
libavfilter-free,4329710,.0500
openssl-devel,4322313,.0500
openconnect,4200190,.0500
gavl,4187393,.0500
gnome-photos,4175520,.0500
lvm2,4132851,.0500
tesseract-langpack-eng,4113088,.0500
libibverbs,4093875,.0500
procps-ng,4079323,.0500
gnome-color-manager,4036231,.0500
geolite2-country,4033110,.0500
iproute,4014014,.0500
poppler,4012761,.0500
pulseaudio-libs,3988103,.0500
ppp,3977938,.0500
gdouros-symbola-fonts,3966348,.0500
grub2-tools-minimal,3925874,.0500
lvm2-libs,3924729,.0500
shim-aa64,3897411,.0500
rpm,3835115,.0500
glusterfs-client-xlators,3814060,.0500
gnome-characters,3782470,.0500
iptables-nft,3776325,.0500
pipewire-utils,3765571,.0400
bison,3765333,.0400
libselinux-utils,3677300,.0400
qt5-qtxmlpatterns,3649783,.0400
source-highlight,3647148,.0400
folks,3641386,.0400
sos,3638074,.0400
svt-av1-libs,3629298,.0400
NetworkManager-openconnect,3604436,.0400
gvfs,3586619,.0400
wireplumber-libs,3574914,.0400
krb5-libs,3565562,.0400
osinfo-db,3517694,.0400
gnutls,3493453,.0400
google-noto-serif-vf-fonts,3474483,.0400
appstream,3461985,.0400
epiphany-runtime,3455883,.0400
wget,3421025,.0400
leptonica,3408729,.0400
libaom,3405493,.0400
protobuf,3401467,.0400
stix-fonts,3383246,.0400
sane-backends,3379662,.0400
tigervnc-server-minimal,3373381,.0400
libreoffice-data,3353956,.0400
python3-paste,3333998,.0400
ibus-libpinyin,3326392,.0400
net-snmp-libs,3323749,.0400
glibmm2.4,3301177,.0400
cyrus-sasl-lib,3252954,.0400
tar,3245201,.0400
tesseract,3230952,.0400
python3-kickstart,3196705,.0400
nano,3188068,.0400
anaconda-gui,3160289,.0400
binutils-gold,3156947,.0400
libshaderc,3138977,.0400
libldb,3080243,.0400
lttng-ust,3050710,.0400
gdk-pixbuf2,3029479,.0400
openssh-clients,3011436,.0300
parted,2987071,.0300
libvirt-daemon-driver-qemu,2963946,.0300
exiv2-libs,2923794,.0300
gnome-session,2919609,.0300
python3-firewall,2917456,.0300
policycoreutils,2892457,.0300
man-pages,2880537,.0300
udisks2,2872606,.0300
cheese-libs,2863770,.0300
device-mapper-persistent-data,2848581,.0300
mediawriter,2847241,.0300
libstdc++,2844036,.0300
net-tools,2834876,.0300
ipxe-roms-qemu,2829789,.0300
python3-dnf,2821144,.0300
libvirt-daemon,2811969,.0300
google-carlito-fonts,2772190,.0300
libexif,2750872,.0300
libavformat-free,2745448,.0300
qpdf-libs,2736857,.0300
gnome-online-accounts,2736662,.0300
poppler-utils,2715934,.0300
python3-setools,2709971,.0300
libreport,2700390,.0300
xdg-desktop-portal,2700374,.0300
LibRaw,2689630,.0300
libetonyek,2677749,.0300
harfbuzz,2673642,.0300
qemu-common,2663569,.0300
ctags,2634423,.0300
glibc-common,2615552,.0300
libcdio,2610752,.0300
fontconfig,2601858,.0300
kbd-misc,2598925,.0300
samba-client,2592793,.0300
libadwaita,2544228,.0300
gts,2518581,.0300
urw-base35-nimbus-sans-fonts,2505850,.0300
python3-simpleaudio,2495868,.0300
libreoffice-ure-common,2469703,.0300
libwnck3,2468410,.0300
xorg-x11-server-Xwayland,2444351,.0300
systemd-libs,2443416,.0300
gnome-initial-setup,2438682,.0300
yelp,2435666,.0300
dnf,2422706,.0300
libreoffice-gtk3,2416762,.0300
gcr3,2408887,.0300
libical,2400390,.0300
tracker,2396752,.0300
ca-certificates,2395522,.0300
realtek-firmware,2387434,.0300
libstaroffice,2387008,.0300
systemd-networkd,2369758,.0300
libvpx,2367310,.0300
gnome-contacts,2364386,.0300
ncurses-libs,2355175,.0300
systemd-container,2350755,.0300
aardvark-dns,2337848,.0300
bind-utils,2317304,.0300
clucene-core,2301374,.0300
jomolhari-fonts,2297766,.0300
libxml2,2293216,.0300
openvpn,2280037,.0300
python3-regex,2271367,.0300
glibc-devel,2264925,.0300
cryptsetup-libs,2238854,.0200
rpm-sequoia,2219454,.0200
libreoffice-gtk4,2215786,.0200
dhcp-client,2213752,.0200
liblangtag-data,2208885,.0200
gdk-pixbuf2-modules,2208401,.0200
gnome-text-editor,2206845,.0200
diffutils,2203202,.0200
evince-libs,2193609,.0200
iscsi-initiator-utils,2189216,.0200
open-sans-fonts,2185780,.0200
python3-chardet,2183178,.0200
p11-kit,2181723,.0200
libreoffice-pyuno,2179173,.0200
firewalld,2150708,.0200
libv4l,2148377,.0200
nss,2142284,.0200
mariadb-connector-c,2133880,.0200
gnome-calendar,2127498,.0200
gutenprint-cups,2120685,.0200
libreoffice-impress,2118943,.0200
m17n-db,2108526,.0200
rav1e-libs,2103001,.0200
SDL2,2102853,.0200
checkpolicy,2102384,.0200
quota,2093757,.0200
gcr-libs,2080295,.0200
rubberband,2076652,.0200
libdnf,2068197,.0200
libgdata,2067469,.0200
pango,2065088,.0200
libwps,2054369,.0200
liborcus,2041840,.0200
zvbi,2038721,.0200
mpfr,2035717,.0200
cogl,2035453,.0200
gst-editing-services,2020188,.0200
gnutls-utils,2006157,.0200
audit,2004011,.0200
fwupd-plugin-uefi-capsule-data,2000096,.0200
cairo,1998742,.0200
libical-glib,1984859,.0200
openssh,1972540,.0200
libunistring,1960989,.0200
libunistring1.0,1959651,.0200
alsa-lib,1934816,.0200
at-spi2-core,1928878,.0200
pcsc-lite-ccid,1913795,.0200
iwlwifi-dvm-firmware,1907774,.0200
make,1899735,.0200
libdb,1889950,.0200
djvulibre-libs,1887192,.0200
adobe-source-code-pro-fonts,1886539,.0200
psmisc,1854629,.0200
dracut,1834194,.0200
gjs,1833761,.0200
libosinfo,1817109,.0200
libappstream-glib,1812317,.0200
tpm2-tools,1811517,.0200
libnl3,1808583,.0200
gnome-tour,1807576,.0200
libglvnd,1787422,.0200
baobab,1780137,.0200
flashrom,1773631,.0200
grilo,1770358,.0200
mdevctl,1760660,.0200
vim-minimal,1759437,.0200
genisoimage,1756743,.0200
ncurses,1754110,.0200
libjxl,1745804,.0200
kexec-tools,1743072,.0200
gnome-clocks,1739327,.0200
fedora-logos,1739240,.0200
tcpdump,1737336,.0200
libinput,1735990,.0200
openssl,1735716,.0200
ModemManager-glib,1735484,.0200
findutils,1733750,.0200
userspace-rcu,1715566,.0200
tzdata,1712794,.0200
NetworkManager-openvpn,1703505,.0200
sssd-client,1697914,.0200
criu,1687795,.0200
exempi,1687117,.0200
texlive-lib,1679276,.0200
adwaita-icon-theme,1671942,.0200
libtracker-sparql,1665179,.0200
liberation-sans-fonts,1662268,.0200
libsamplerate,1647254,.0200
sil-padauk-fonts,1645551,.0200
python3-gpg,1629235,.0200
ladspa,1627364,.0200
libdrm,1627173,.0200
hunspell,1623245,.0200
xmlrpc-c,1622771,.0200
libcupsfilters,1618706,.0200
fftw-libs-double,1618061,.0200
cups-client,1614975,.0200
libgpod,1614620,.0200
libdazzle,1602983,.0200
blivet-gui-runtime,1597053,.0200
libevent,1595946,.0200
augeas-libs,1569072,.0200
urw-base35-p052-fonts,1557220,.0200
spice-glib,1555374,.0200
libopenmpt,1548718,.0200
libasan,1547838,.0200
python3-cffi,1542500,.0200
python-pip-wheel,1538542,.0200
libgfortran,1529502,.0200
liberation-serif-fonts,1528653,.0200
libvirt-daemon-driver-storage-core,1519465,.0200
unbound-libs,1517907,.0200
libwinpr,1514562,.0200
libhandy,1513262,.0200
libepoxy,1507708,.0100
sqlite-libs,1498098,.0100
libsoup,1497785,.0100
python3-langtable,1497040,.0100
hplip-libs,1482350,.0100
open-vm-tools-desktop,1475901,.0100
python3-beautifulsoup4,1466041,.0100
hplip-common,1466027,.0100
libcanberra,1465167,.0100
mbedtls,1465063,.0100
urw-base35-c059-fonts,1460518,.0100
yelp-xsl,1444364,.0100
iproute-tc,1443611,.0100
xz,1443230,.0100
avahi,1442154,.0100
libbabeltrace,1440253,.0100
codec2,1439463,.0100
roc-toolkit,1437771,.0100
iputils,1435210,.0100
libcap,1432119,.0100
cifs-utils,1430974,.0100
urw-base35-nimbus-roman-fonts,1429732,.0100
ostree,1428915,.0100
xorg-x11-drv-wacom,1428650,.0100
urw-base35-bookman-fonts,1428570,.0100
perl-Net-SSLeay,1418956,.0100
polkit,1412912,.0100
gstreamer1-plugins-ugly-free,1412453,.0100
libX11,1407852,.0100
gnome-font-viewer,1407813,.0100
google-noto-sans-vf-fonts,1404226,.0100
lpsolve,1403805,.0100
libglvnd-glx,1399078,.0100
taglib,1392942,.0100
p11-kit-server,1390657,.0100
gawk-all-langpacks,1389907,.0100
abrt-addon-ccpp,1369926,.0100
gettext-libs,1345224,.0100
lame-libs,1344847,.0100
libreoffice-graphicfilter,1342850,.0100
libvirt-client,1338446,.0100
plymouth,1334381,.0100
tmux,1329376,.0100
fprintd,1327481,.0100
spice-server,1327215,.0100
libvorbis,1326069,.0100
glib-networking,1323261,.0100
colord-libs,1323128,.0100
brasero-libs,1322040,.0100
dbus-daemon,1316308,.0100
lksctp-tools,1310127,.0100
nftables,1305067,.0100
brlapi,1298392,.0100
gamemode,1296086,.0100
libwebp,1295293,.0100
libcmis,1283945,.0100
libsoup3,1274804,.0100
kernel-modules-extra,1274304,.0100
kernel-modules-extra,1272872,.0100
libnma,1272628,.0100
psacct,1267219,.0100
libheif,1263791,.0100
nvidia-gpu-firmware,1262393,.0100
libgsf,1261662,.0100
libqmi-utils,1261657,.0100
gnome-bluetooth-libs,1256790,.0100
libvncserver,1247970,.0100
zxing-cpp,1246311,.0100
nss-mdns,1245135,.0100
httpd-tools,1242639,.0100
openssh-server,1241872,.0100
python3-systemd,1240914,.0100
exfatprogs,1232654,.0100
zeromq,1224528,.0100
gnome-connections,1223172,.0100
systemd-pam,1217933,.0100
urw-base35-gothic-fonts,1216723,.0100
libmbim,1212276,.0100
cpio,1211102,.0100
libX11-common,1208298,.0100
liberation-mono-fonts,1205335,.0100
libudisks2,1196768,.0100
usermode,1196081,.0100
libbrotli,1194674,.0100
rasqal,1190949,.0100
elfutils-libelf,1183265,.0100
zip,1176103,.0100
libgcrypt,1175802,.0100
wavpack,1173022,.0100
libgpg-error,1168182,.0100
python3-dnf-plugins-core,1164013,.0100
redland,1163424,.0100
NetworkManager-vpnc,1162652,.0100
libva,1159923,.0100
orc,1157798,.0100
qemu-pr-helper,1153703,.0100
gnome-remote-desktop,1151279,.0100
libpwquality,1149930,.0100
gupnp-dlna,1149714,.0100
catatonit,1145869,.0100
ostree-libs,1145702,.0100
qemu-guest-agent,1142659,.0100
mdadm,1138807,.0100
gdisk,1138565,.0100
qt6-qtsvg,1138553,.0100
python3-click,1132298,.0100
hunspell-en,1128580,.0100
grep,1120983,.0100
authselect-libs,1113336,.0100
NetworkManager-pptp,1112300,.0100
gnome-logs,1103903,.0100
urw-base35-nimbus-mono-ps-fonts,1100338,.0100
mpg123-libs,1094780,.0100
vapoursynth-libs,1085130,.0100
libtpms,1084638,.0100
gobject-introspection,1084237,.0100
libgnomekbd,1078684,.0100
libgee,1075071,.0100
realmd,1071074,.0100
xorg-x11-fonts-ISO8859-1-100dpi,1070851,.0100
flatpak-libs,1064526,.0100
libarchive,1063240,.0100
libvirt-daemon-driver-network,1053874,.0100
bash-completion,1053043,.0100
librevenge,1052901,.0100
bcache-tools,1037727,.0100
openldap,1035939,.0100
sssd-ipa,1035146,.0100
swtpm-tools,1029961,.0100
pulseaudio-utils,1029832,.0100
dos2unix,1028693,.0100
libnfsidmap,1018491,.0100
libsolv,1013266,.0100
pipewire-jack-audio-connection-kit-libs,1005429,.0100
gcr3-base,1004474,.0100
libstemmer,1004300,.0100
libmodulemd,1004112,.0100
m17n-lib,995132,.0100
libtomcrypt,995053,.0100
ibus-libs,985290,.0100
qgnomeplatform-qt5,980767,.0100
libgtop2,976942,.0100
python3-urllib3,974607,.0100
nettle,969166,.0100
flex,968909,.0100
freetype,966335,.0100
sed,965343,.0100
libcdr,963039,.0100
zram-generator,962217,.0100
elfutils-libs,961637,.0100
libthai,958342,.0100
cracklib,957843,.0100
libfprint,957748,.0100
libnice,957592,.0100
nss-softokn-freebl,952958,.0100
duktape,951504,.0100
qt5-qtgraphicaleffects,950835,.0100
srt-libs,946226,.0100
cups-libs,946022,.0100
qemu-virtiofsd,943829,.0100
libdav1d,942335,.0100
qemu-device-display-vhost-user-gpu,937405,.0100
python3-pyyaml,932150,.0100
libglusterfs0,928664,.0100
python3-gobject-base-noarch,928244,.0100
python3-dateutil,927214,.0100
ibus-anthy-python,927128,.0100
libvirt-daemon-driver-nwfilter,917459,.0100
curl,906688,.0100
libplacebo,906091,.0100
vamp-plugin-sdk,903084,.0100
libnumbertext,897989,.0100
libsepol,895635,.0100
lua,892493,.0100
libavutil-free,891116,.0100
libsecret,889968,.0100
python3-pycparser,888298,.0100
libxslt,886575,.0100
rpm-libs,885732,.0100
osinfo-db-tools,885423,.0100
python-systemd-doc,881444,.0100
python-setuptools-wheel,880927,.0100
python3-libreport,880287,.0100
libtheora,875174,.0100
libwpd,873902,.0100
gc,872928,.0100
libtiff,871049,.0100
pcre2,863002,.0100
chrony,858296,.0100
raptor2,855905,.0100
squashfs-tools,852592,.0100
dosfstools,852207,.0100
oniguruma,850549,.0100
libvirt-daemon-driver-nodedev,850515,.0100
libvirt-daemon-driver-interface,850065,.0100
libvirt-daemon-driver-secret,849851,.0100
libodfgen,848198,.0100
enchant2,844246,.0100
dconf,841138,.0100
dbus-tools,839580,.0100
rsync,836146,.0100
dnsmasq,835940,.0100
qgnomeplatform-qt6,834740,.0100
upower,831674,.0100
ethtool,829223,.0100
libao,827415,.0100
libmtp,822205,.0100
less,819531,.0100
vte291,819377,.0100
gpgme,817898,.0100
libzstd,815830,.0100
deltarpm,815780,.0100
geoclue2,815356,.0100
volume_key-libs,813547,.0100
xmlsec1,810774,.0100
highway,809906,.0100
xdg-desktop-portal-gnome,809773,.0100
boost-locale,808465,.0100
avahi-tools,806632,.0100
python3-libselinux,806554,.0100
efivar-libs,806426,.0100
glx-utils,803990,.0100
webrtc-audio-processing,802926,.0100
libppd,796017,.0100
gettext-runtime,795171,.0100
wireplumber,794178,.0100
glusterfs-fuse,792864,.0100
gnome-desktop4,790199,.0100
jemalloc,789039,.0100
e2fsprogs-libs,782559,.0100
python3-dbus,779799,.0100
libreoffice-pdfimport,776280,.0100
xorg-x11-drv-ati,771844,.0100
cryptsetup,769147,.0100
antiword,768856,.0100
pcre,764868,.0100
xvidcore,763279,.0100
flac-libs,760471,.0100
nspr,759808,.0100
gnupg2-smime,756017,.0100
gnome-menus,753805,0
NetworkManager-openvpn-gnome,752855,0
bluez-obexd,751840,0
python3-mako,751194,0
fuse,749559,0
unzip,745787,0
libadwaita-qt6,740308,0
gmp,739335,0
python3-pycurl,738336,0
setup,737479,0
pixman,736375,0
gnome-weather,735518,0
gnome-abrt,733049,0
lsof,731078,0
acl,722543,0
libusal,722122,0
systemd-resolved,721185,0
sssd-ad,718618,0
libwsman1,716115,0
xdg-desktop-portal-gtk,714942,0
teamd,709219,0
libsndfile,707488,0
attr,707309,0
ntfs-3g,707157,0
readline,706957,0
plocate,703781,0
libpinyin,700704,0
libvisio,694947,0
redhat-menus,688500,0
python3-gobject-base,686423,0
m4,685590,0
python3-unbound,684622,0
fribidi,684568,0
liblangtag,678726,0
mesa-libGL,677273,0
poppler-glib,675836,0
p11-kit-trust,672975,0
fdk-aac-free,671840,0
bolt,671499,0
virglrenderer,670946,0
usbutils,670190,0
libadwaita-qt5,669752,0
plymouth-core-libs,669196,0
libglvnd-gles,667410,0
pcre2-utf16,662432,0
lvm2-dbusd,660121,0
libidn2,659073,0
desktop-file-utils,654195,0
cups-browsed,653841,0
libcdio-paranoia,650417,0
jq,649453,0
device-mapper,644888,0
speexdsp,644529,0
netpbm,644150,0
json-glib,642028,0
libexttextcat,641298,0
perl-IO-Socket-SSL,640133,0
keyutils,636718,0
libplist,634486,0
libblkio,633192,0
python3-pexpect,631656,0
satyr,631338,0
dbus-broker,630364,0
avahi-libs,630310,0
mod_http2,629823,0
libatasmart,629399,0
ibus-m17n,627527,0
libreoffice-x11,627353,0
PackageKit-glib,626368,0
distribution-gpg-keys,625734,0
cyrus-sasl,624691,0
pam-libs,622895,0
libunwind,620276,0
google-noto-sans-arabic-vf-fonts,620084,0
perl-B,620062,0
gcr,619176,0
totem-pl-parser,616384,0
uchardet,614967,0
mtools,614774,0
NetworkManager-openconnect-gnome,614649,0
NetworkManager-vpnc-gnome,614598,0
yajl,613488,0
NetworkManager-pptp-gnome,613290,0
libcurl-minimal,611966,0
libxkbcommon,611882,0
abrt-addon-kerneloops,610243,0
passwd,609815,0
