Package Name,Size (KB),Percentage of Total Size
passwdqc-utils,609345,0
libbs2b,607473,0
sord,604910,0
woff2,604872,0
plymouth-graphics-libs,603251,0
trousers-lib,601395,0
libcanberra-gtk3,601234,0
libwacom-data,600512,0
libzhuyin,598564,0
python3-ply,598325,0
pcre2-utf32,596816,0
adobe-mappings-cmap-deprecated,596045,0
libssh,595349,0
libjpeg-turbo,594733,0
nmap-ncat,592152,0
python3-cairo,590972,0
anaconda-user-help,590937,0
google-noto-sans-math-fonts,590641,0
dmraid-libs,585575,0
google-noto-sans-mono-vf-fonts,578754,0
python3-audit,574848,0
perl-Pod-Simple,570852,0
hunspell-en-US,570772,0
hfsplus-tools,569954,0
crun,566973,0
libvirt-gconfig,566196,0
libvisual,565445,0
at-spi2-atk,565311,0
fuse-libs,563726,0
opencore-amr,563373,0
libe-book,561856,0
kbd-legacy,560926,0
audit-libs,560921,0
vulkan-loader,559010,0
libgomp,558898,0
js-jquery,557998,0
libepubgen,556799,0
hunspell-en-GB,556242,0
libXt,555529,0
conmon,555009,0
libubsan,551568,0
libfreehand,549795,0
gnome-shell-extension-common,545876,0
libnfs,543635,0
isns-utils-libs,540762,0
expat,540581,0
mesa-libglapi,538176,0
abattis-cantarell-fonts,537952,0
libksba,535498,0
yelp-libs,535494,0
libglvnd-opengl,534330,0
malcontent,533050,0
libdmapsharing4,530547,0
gutenprint-libs,530506,0
python3-idna,529571,0
passt,529137,0
gd,528875,0
libxmlb,528362,0
dbus-glib,527568,0
device-mapper-libs,524681,0
python3-beaker,523231,0
mobile-broadband-provider-info,521810,0
python3-hawkey,521429,0
google-noto-sans-ethiopic-vf-fonts,518425,0
imath,517606,0
NetworkManager-ssh,515985,0
clucene-contribs-lib,515162,0
libmbim-utils,511879,0
pipewire,511092,0
vpnc,508950,0
graphite2,508935,0
python3-simpleline,508850,0
libmpeg2,507149,0
libfdisk,507123,0
libbluray,506425,0
sssd-krb5-common,505537,0
libnvme,505370,0
anaconda-tui,502423,0
libpcap,502234,0
dbus-libs,501411,0
fmt,501410,0
libbsd,497745,0
pciutils,496879,0
libiptcdata,496485,0
lcms2,496333,0
sushi,495042,0
bc,493854,0
python3-requests,493806,0
libswscale-free,493068,0
libuv,488929,0
gzip,487637,0
libmspub,487043,0
openjpeg2,485352,0
ntfs-3g-libs,485240,0
mtr,484961,0
python3-pyOpenSSL,484475,0
libpeas,483653,0
zimg,483420,0
accountsservice,483122,0
cups-pk-helper,482311,0
gssproxy,480240,0
glusterfs-cli,479834,0
dleyna-server,479298,0
liblouisutdml,479173,0
pipewire-pulseaudio,479034,0
SDL2_image,476508,0
soundtouch,476266,0
python3-libsemanage,475950,0
soxr,475592,0
gstreamer1-plugin-libav,475520,0
blivet-data,475260,0
gnome-user-share,474734,0
librdmacm,474526,0
jasper-libs,472882,0
paktype-naskh-basic-fonts,471906,0
gvfs-afp,471764,0
sound-theme-freedesktop,471450,0
libbpf,470308,0
python3-pyxdg,469381,0
gpgmepp,468805,0
fuse3,467354,0
rtkit,465650,0
trousers,465215,0
libXmu,459325,0
gspell,458740,0
python3-pyatspi,454141,0
rest,453999,0
spice-vdagent,452809,0
iio-sensor-proxy,452193,0
ima-evm-utils,450351,0
python3-pyparted,449956,0
atmel-firmware,449131,0
jbigkit-libs,448919,0
libjcat,448680,0
gupnp-av,448130,0
libnotify,447269,0
openssl-pkcs11,445782,0
libblockdev,445631,0
gnome-autoar,442170,0
adcli,442072,0
libreoffice-opensymbol-fonts,441905,0
cheese,439564,0
bzip2,438549,0
libdmapsharing,436926,0
polkit-pkla-compat,436637,0
sssd-proxy,436485,0
libnma-gtk4,436018,0
gdbm-libs,436010,0
libmaxminddb,435990,0
gsound,434942,0
libshout,434520,0
abrt-gui,432331,0
atkmm,431862,0
python3-dasbus,431416,0
gdb,431218,0
libmount,430149,0
liburing,429953,0
efibootmgr,429783,0
lrzsz,429669,0
lockdev,429541,0
policycoreutils-devel,429224,0
usbredir,429169,0
libteam,429100,0
libndp,428977,0
libaio,428597,0
libutempter,428353,0
openpgm,427280,0
libcap-ng,426396,0
adwaita-qt5,426371,0
polkit-libs,426044,0
libieee1284,424791,0
libqxp,422491,0
httpd,422409,0
libmodplug,421117,0
isomd5sum,420711,0
abrt-java-connector,420241,0
serd,419369,0
rpcbind,418555,0
libwacom,416752,0
libgfapi0,414656,0
libldac,412877,0
inih,412529,0
dleyna-renderer,411644,0
libXfont2,411107,0
libxcrypt,409077,0
abrt-addon-xorg,407794,0
libdecor,407016,0
elfutils-debuginfod-client,406834,0
libreport-gtk,406053,0
pipewire-alsa,405966,0
mesa-libEGL,404951,0
spice-gtk3,404450,0
shadow-utils-subid,404378,0
gvfs-goa,404049,0
cdparanoia-libs,403942,0
gvfs-gphoto2,403815,0
gvfs-mtp,403708,0
xcb-util-wm,403675,0
gvfs-afc,403594,0
lua-libs,403171,0
NetworkManager-wwan,402990,0
gvfs-smb,402516,0
NetworkManager-wifi,402166,0
cyrus-sasl-plain,401982,0
opus,401862,0
NetworkManager-ppp,401752,0
libvirt-daemon-driver-storage-gluster,401282,0
libblockdev-utils,400970,0
adwaita-qt6,400147,0
urw-base35-z003-fonts,400137,0
python3-enchant,399555,0
xmlsec1-openssl,399354,0
ndctl,396465,0
gupnp,392991,0
pinfo,390513,0
libreoffice-ogltrans,386378,0
libgexiv2,385946,0
xdg-user-dirs-gtk,385782,0
c-ares,385190,0
python3-cups,384290,0
swtpm,382387,0
lv2,382223,0
perl-Storable,380586,0
ibus-hangul,375570,0
braille-printer-app,375552,0
apr,373965,0
libsemanage,373854,0
xorg-x11-drv-amdgpu,373645,0
game-music-emu,372207,0
pinentry,370735,0
pangomm,370210,0
sssd-common-pac,370032,0
libmanette,369033,0
atk,368726,0
python3-brlapi,368380,0
usb_modeswitch,366033,0
google-noto-sans-sinhala-vf-fonts,363228,0
libsane-airscan,363125,0
fuse3-libs,362972,0
libabw,362194,0
sg3_utils-libs,361589,0
perl-PathTools,359765,0
bluez-libs,358984,0
libgcc,358140,0
sssd-ldap,356976,0
python3-pyudev,356650,0
sssd-kcm,355417,0
nss-util,354656,0
python3-packaging,354552,0
libshumate,354192,0
whois,353253,0
libedit,352790,0
lohit-telugu-fonts,351062,0
libfido2,350375,0
iw,349744,0
tzdata-java,349630,0
gtk-vnc2,348321,0
libgcab1,348081,0
xdg-user-dirs,346992,0
python3-productmd,346389,0
ibus-setup,342877,0
libpng,342711,0
libssh2,341396,0
boost-regex,339216,0
perl-IO,337687,0
mpdecimal,337511,0
gvnc,336783,0
os-prober,335000,0
libsodium,334323,0
gstreamer1-plugins-good-qt,334002,0
clutter-gst3,333389,0
dhcp-common,333357,0
perl-POSIX,333070,0
python3-meh,329636,0
alsa-ucm,327411,0
kmod,324433,0
crypto-policies-scripts,323849,0
python3-charset-normalizer,321531,0
ncurses-base,321488,0
xdg-utils,320636,0
openfec,319141,0
python3-olefile,317908,0
libwpg,317142,0
python3-soupsieve,316268,0
perl-podlators,315480,0
gom,315130,0
authselect,314863,0
ndctl-libs,312147,0
libgxps,312119,0
aajohan-comfortaa-fonts,310717,0
jbig2dec-libs,308611,0
qrencode-libs,308500,0
xorg-x11-xinit,308177,0
libvirt-gobject,307288,0
perl-interpreter,307102,0
libiscsi,306751,0
zlib,306235,0
libxkbfile,304407,0
kasumi-unicode,302670,0
libimobiledevice,302105,0
libcgroup,301745,0
libportal,300651,0
librepo,298940,0
qt5-qtx11extras,298073,0
lzo,297827,0
pcsc-lite,297782,0
libproxy,296542,0
apr-util,296239,0
libwmf-lite,296094,0
libdvdread,295934,0
perl-libnet,295892,0
libvirt-glib,295702,0
kmod-libs,295078,0
libass,293803,0
libnftnl,293690,0
libgrss,293447,0
libcomps,292967,0
vazirmatn-vf-fonts,292204,0
cairomm,292160,0
libtasn1,290924,0
ocl-icd,289874,0
sane-airscan,289455,0
libpagemaker,289233,0
mpage,288554,0
libmpc,288308,0
pptp,287901,0
libavif,287249,0
libzmf,287189,0
libnetfilter_conntrack,286970,0
autocorr-en,286881,0
libslirp,286241,0
libassuan,286110,0
xorg-x11-drv-nouveau,285249,0
pigz,284636,0
perl-Scalar-List-Utils,284477,0
ImageMagick,284240,0
samba-common-libs,283031,0
libtirpc,281530,0
libreport-plugin-reportuploader,280678,0
xkbcomp,280614,0
quota-nls,280116,0
popt,279794,0
accountsservice-libs,279160,0
libsss_certmap,279108,0
python3-argcomplete,277818,0
switcheroo-control,277261,0
perl-Socket,277064,0
librist,276725,0
libpipeline,275163,0
ipset-libs,274852,0
google-noto-sans-khmer-vf-fonts,274273,0
sssd-krb5,274174,0
sil-nuosu-fonts,273698,0
file,273570,0
xorg-x11-drv-qxl,273563,0
xz-libs,272333,0
libselinux,272285,0
libblkid,271969,0
libphodav,271677,0
iscsi-initiator-utils-iscsiuio,271135,0
libzip,271006,0
libimagequant,270327,0
boost-filesystem,270165,0
perl-Data-Dumper,270086,0
Box2D,269554,0
libnghttp2,269268,0
mod_lua,269247,0
libyaml,269235,0
rpm-build-libs,269230,0
libtommath,269093,0
libICE,269090,0
libsane-hpaio,268395,0
lz4-libs,268075,0
pipewire-gstreamer,267885,0
xmlsec1-nss,267430,0
libmspack,266914,0
python3-speechd,266154,0
python3-abrt,265575,0
sil-mingzat-fonts,265467,0
lasi,265296,0
gnome-bluetooth,264887,0
giflib,264480,0
pam_afs_session,264416,0
malcontent-control,264273,0
libXft,262853,0
usbmuxd,262794,0
memstrack,262500,0
NetworkManager-ssh-gnome,261778,0
power-profiles-daemon,261693,0
google-noto-naskh-arabic-vf-fonts,261241,0
time,261097,0
ipset,260863,0
libXpm,260423,0
gssdp,260280,0
libbytesize,260093,0
libsigc++20,258947,0
dmraid,258522,0
logrotate,258381,0
google-crosextra-caladea-fonts,257136,0
unoconv,255583,0
geocode-glib2,255245,0
libSM,255197,0
which,254452,0
startup-notification,252022,0
clutter-gtk,251523,0
libgusb,251096,0
libreport-plugin-ureport,250336,0
python3-rpm,250333,0
libseccomp,249484,0
graphene,249251,0
libXau,249075,0
gnome-classic-session,248995,0
bubblewrap,248931,0
libXdmcp,248098,0
libusb1,247686,0
vo-amrwbenc,247587,0
abrt-dbus,246940,0
libini_config,246152,0
libss,245423,0
libcom_err,245369,0
geoclue2-libs,245161,0
libmd,244909,0
libcollection,244792,0
libsss_nss_idmap,244374,0
low-memory-monitor,244134,0
libcue,243837,0
libsss_idmap,243782,0
libxklavier,243699,0
libpath_utils,243536,0
libdhash,243534,0
libref_array,243414,0
libbasicobjects,243300,0
libipa_hbac,243292,0
malcontent-libs,243258,0
liblqr-1,242824,0
python3-markupsafe,242679,0
perl-TermReadKey,242119,0
flatpak-session-helper,241261,0
cxl-libs,241213,0
gettext-envsubst,240830,0
mokutil,240742,0
pcre2-syntax,240727,0
libgfrpc0,239632,0
libev,239306,0
daxctl-libs,239291,0
dmidecode,238890,0
pcaudiolib,238763,0
vte-profile,238600,0
malcontent-ui-libs,238264,0
libfontenc,238232,0
paps,238142,0
libmediaart,237540,0
libgudev,237472,0
perl-Digest-MD5,237358,0
pkgconf,237339,0
traceroute,237272,0
liblouisutdml-utils,236958,0
nautilus-extensions,236542,0
libsss_sudo,235831,0
kpartx,235666,0
tree,235662,0
libijs,235580,0
libqrtr-glib,235079,0
libsrtp,234993,0
pkcs11-helper,233896,0
libdaemon,233735,0
gvncpulse,233594,0
libreport-plugin-logger,233406,0
libcacard,233110,0
libusbmuxd,232871,0
dleyna,232835,0
libasyncns,232798,0
gupnp-igd,232700,0
libkcapi,232696,0
lzop,232414,0
keyutils-libs,232209,0
libpskc,232126,0
stoken-libs,231572,0
mod_dnssd,231353,0
libcbor,231313,0
slirp4netns,231102,0
libsigsegv,231001,0
protobuf-c,230912,0
xdg-dbus-proxy,230609,0
libpaper,230361,0
libsmartcols,230347,0
libdvdnav,229868,0
libnet,229544,0
cjson,229470,0
libmnl,228955,0
libpasswdqc,228738,0
spice-webdavd,228055,0
libtool-ltdl,227968,0
perl-MIME-Base64,227805,0
gtk-update-icon-cache,227783,0
libftdi,227742,0
libudfread,227732,0
libnsl2,227686,0
libdatrie,227665,0
libspectre,227630,0
lm_sensors-libs,227590,0
ipcalc,227496,0
dotconf,227476,0
device-mapper-event-libs,227404,0
twolame-libs,227312,0
libXcomposite,226973,0
npth,226699,0
libgdither,226642,0
linux-atm-libs,226615,0
jansson,226100,0
gnome-video-effects,225809,0
libcloudproviders,225649,0
libreport-plugin-kerneloops,225411,0
hyphen,224796,0
fuse-overlayfs,224695,0
libswresample-free,224460,0
sshpass,224247,0
b43-fwcutter,223870,0
alternatives,223718,0
gnome-terminal-nautilus,223474,0
libpostproc-free,223408,0
totem-video-thumbnailer,223316,0
hostname,223096,0
python3-satyr,223086,0
libffi,222968,0
libeot,222269,0
ntfs-3g-system-compression,221840,0
libXdamage,221779,0
perl-URI,221186,0
python3-libcomps,220992,0
mkpasswd,220800,0
pciutils-libs,220295,0
ghostscript,220110,0
libcap-ng-python3,220077,0
libfdt,219512,0
liba52,219043,0
libnfnetlink,218939,0
libsbc,218890,0
linux-firmware-whence,218681,0
libargon2,218675,0
python3,218058,0
xxhash-libs,217598,0
xorg-x11-drv-wacom-serial-support,217448,0
abrt-plugin-bodhi,216751,0
sudo-python-plugin,216541,0
anaconda-widgets,216394,0
perl-mro,215932,0
evince-djvu,215735,0
libXext,215373,0
lilv-libs,215330,0
snappy,215230,0
lmdb-libs,214640,0
libwayland-cursor,214416,0
python3-distro,214334,0
libchromaprint,214321,0
vid.stab,213647,0
qemu-device-display-qxl,213308,0
ilbc,212864,0
iptstate,212567,0
xprop,212519,0
system-config-printer-udev,211158,0
xorg-x11-drv-evdev,211024,0
mkfontscale,211016,0
libogg,210769,0
xorg-x11-drv-libinput,210351,0
editorconfig-libs,210223,0
gsm,210080,0
wpebackend-fdo,209804,0
libmysofa,209588,0
xorg-x11-xauth,209360,0
xmodmap,209095,0
keybinder3,209031,0
sssd-nfs-idmap,208621,0
xrdb,208455,0
cldr-emoji-annotation-dtd,208199,0
xorg-x11-drv-armsoc,207993,0
double-conversion,207976,0
json-c,207539,0
libwpe,207422,0
libb2,207414,0
lohit-kannada-fonts,206992,0
zchunk-libs,206861,0
libXtst,206800,0
qemu-device-usb-redirect,206797,0
perl-Fcntl,206685,0
xhost,206655,0
perl-NDBM_File,206600,0
libmetalink,206424,0
unbound-anchor,206417,0
libeconf,206195,0
qemu-device-display-virtio-gpu,206091,0
qemu-device-usb-host,206065,0
boost-thread,205921,0
bzip2-libs,205916,0
libpciaccess,205819,0
speex,205772,0
qemu-block-curl,205712,0
pcsc-lite-libs,205698,0
xcb-util-renderutil,205686,0
libXi,205661,0
qemu-block-gluster,205619,0
qemu-block-blkio,205601,0
qemu-ui-spice-core,205339,0
udisks2-iscsi,205166,0
liboauth,205119,0
numad,205096,0
dbus-x11,205017,0
libXrandr,204924,0
hypervkvpd,204852,0
mythes,204541,0
xcb-util-cursor,204485,0
PackageKit-command-not-found,204329,0
setxkbmap,204255,0
libXinerama,204229,0
swtpm-libs,204228,0
compsize,204196,0
sratom,204143,0
libpeas-gtk,204060,0
sgpio,204055,0
qemu-block-ssh,204047,0
qemu-block-iscsi,204001,0
speech-dispatcher-espeak-ng,203939,0
fstrm,203812,0
abrt-addon-pstoreoops,203777,0
libwayland-server,203736,0
qemu-ui-gtk,203724,0
iniparser,203648,0
device-mapper-event,203580,0
xcb-util,203565,0
libxcvt,203558,0
boost-iostreams,203540,0
fprintd-pam,203510,0
libXfixes,203490,0
nss-sysinit,203430,0
xcb-util-image,203384,0
librabbitmq,203357,0
libwayland-client,203280,0
libXrender,203255,0
libXv,203233,0
qemu-device-display-virtio-gpu-gl,203222,0
libevdev,203131,0
libtevent,203020,0
libpkgconf,203001,0
gvfs-fuse,202978,0
gnutls-dane,202956,0
symlinks,202952,0
xorg-x11-drv-fbdev,202948,0
poppler-cpp,202854,0
boost-chrono,202841,0
libzstd-devel,202817,0
qemu-device-usb-smartcard,202806,0
libtdb,202708,0
jxl-pixbuf-loader,202702,0
libuuid,202637,0
libXcursor,202624,0
numactl-libs,202614,0
libverto,202605,0
python3-pwquality,202472,0
qemu-block-rbd,202463,0
libXxf86vm,202451,0
mtdev,202437,0
libglvnd-egl,202420,0
gstreamer1-plugins-good-qt6,202377,0
qemu-block-nfs,202367,0
evince-previewer,202365,0
mesa-libgbm,202268,0
libblockdev-lvm,202226,0
libreport-plugin-systemd-journal,202220,0
qemu-ui-sdl,202140,0
qemu-audio-alsa,202040,0
NetworkManager-bluetooth,202035,0
boost-atomic,202025,0
pinentry-gnome3,202019,0
qemu-char-spice,201987,0
libXres,201986,0
libvdpau,201970,0
libreport-cli,201940,0
xisxwayland,201926,0
webp-pixbuf-loader,201911,0
fwupd-plugin-modem-manager,201879,0
libfsverity,201848,0
abrt-libs,201838,0
evince-thumbnailer,201824,0
xcb-util-keysyms,201811,0
qemu-audio-dbus,201792,0
libraqm,201762,0
pam_passwdqc,201751,0
dmraid-events,201729,0
libkcapi-hmaccalc,201725,0
libpsl,201672,0
libattr,201661,0
libwayland-egl,201626,0
libatomic,201562,0
criu-libs,201554,0
qemu-ui-opengl,201551,0
libtalloc,201522,0
libreport-web,201482,0
qemu-device-display-virtio-vga,201443,0
avahi-gobject,201408,0
sane-backends-libs,201398,0
libblockdev-fs,201392,0
cyrus-sasl-gssapi,201384,0
gstreamer1-plugins-good-gtk,201360,0
qemu-audio-pa,201350,0
libblockdev-lvm-dbus,201326,0
qemu-audio-oss,201311,0
qemu-audio-jack,201304,0
boost-date-time,201300,0
boost-system,201289,0
qemu-audio-sdl,201287,0
qemu-audio-spice,201201,0
qemu-ui-curses,201135,0
hypervvssd,201130,0
rpm-plugin-systemd-inhibit,201126,0
libacl,201122,0
bluez-cups,201114,0
qemu-char-baum,201106,0
plymouth-plugin-two-step,201090,0
ibus-gtk3,201088,0
NetworkManager-team,201086,0
libportal-gtk4,201080,0
libportal-gtk3,201080,0
gvfs-archive,201057,0
qemu-ui-egl-headless,201045,0
hypervfcopyd,201030,0
libproxy-duktape,201026,0
qemu-device-display-virtio-gpu-pci,201023,0
qemu-device-display-virtio-gpu-ccw,200989,0
libblockdev-mdraid,200984,0
xmlrpc-c-client,200982,0
python3-gobject,200972,0
qemu-ui-spice-app,200970,0
NetworkManager-adsl,200966,0
ibus-gtk4,200955,0
libvirt-daemon-driver-storage-rbd,200940,0
pulseaudio-libs-glib2,200916,0
rpm-plugin-selinux,200907,0
libvirt-daemon-driver-storage-logical,200896,0
abrt-gui-libs,200894,0
libpeas-loader-python3,200893,0
PackageKit-gstreamer-plugin,200872,0
libvirt-daemon-driver-storage-iscsi-direct,200845,0
libvirt-daemon-driver-storage-disk,200829,0
libblockdev-btrfs,200814,0
PackageKit-gtk3-module,200788,0
qemu-device-display-virtio-vga-gl,200782,0
fwupd-plugin-flashrom,200762,0
avahi-glib,200762,0
libvirt-daemon-driver-storage-scsi,200749,0
libverto-libev,200732,0
plymouth-plugin-label,200727,0
libvirt-daemon-driver-storage-iscsi,200726,0
libxkbcommon-x11,200720,0
colord-gtk4,200708,0
libblockdev-nvdimm,200680,0
qemu-block-dmg,200675,0
libblockdev-mpath,200662,0
libblockdev-swap,200660,0
libblockdev-part,200660,0
libvirt-daemon-driver-storage-mpath,200654,0
harfbuzz-icu,200630,0
qemu-device-display-virtio-gpu-pci-gl,200618,0
libblockdev-crypto,200616,0
apr-util-openssl,200583,0
libblockdev-dm,200552,0
libblockdev-kbd,200498,0
libblockdev-loop,200468,0
libxshmfence,200456,0
rpm-sign-libs,200388,0
flexiblas-openblas-openmp,200325,0
apr-util-bdb,200287,0
cairo-gobject,200128,0
libX11-xcb,199980,0
gnome-keyring-pam,199891,0
abattis-cantarell-vf-fonts,196951,0
dkms,196502,0
dracut-network,195706,0
passt-selinux,192880,0
python3-humanize,192680,0
rit-meera-new-fonts,188760,0
media-player-info,185517,0
lohit-devanagari-fonts,183774,0
langtable,181603,0
libsmbclient,179920,0
uresourced,176806,0
libreoffice-langpack-en,175628,0
python3-tempita,170535,0
kdump-anaconda-addon,168771,0
perl-Pod-Perldoc,166968,0
perl-File-Temp,166172,0
fwupd-efi,163343,0
perl-HTTP-Tiny,155588,0
google-noto-sans-georgian-vf-fonts,148338,0
google-noto-sans-gurmukhi-vf-fonts,148268,0
crypto-policies,146211,0
lohit-bengali-fonts,145663,0
lohit-assamese-fonts,145570,0
plymouth-theme-spinner,144361,0
zlib-devel,142482,0
samba-common,142275,0
perl-Getopt-Long,141332,0
usb_modeswitch-data,137492,0
google-noto-sans-cherokee-vf-fonts,136247,0
whois-nls,134842,0
libreport-plugin-bugzilla,130795,0
xorg-x11-server-common,130336,0
gnome-browser-connector,126170,0
iwlegacy-firmware,126070,0
python3-six,125652,0
fedora-gpg-keys,123599,0
python3-blockdev,121866,0
policycoreutils-python-utils,119472,0
containers-common,118744,0
google-noto-sans-canadian-aboriginal-vf-fonts,109728,0
python3-pysocks,108115,0
hyphen-en,106371,0
python3-augeas,101390,0
perl-IO-Socket-IP,99928,0
perl-Term-ANSIColor,99819,0
fedora-bookmarks,96394,0
lohit-odia-fonts,96305,0
lohit-marathi-fonts,93197,0
git,87279,0
perl-Pod-Usage,86712,0
urw-base35-d050000l-fonts,86336,0
abrt-tui,85820,0
python3-ptyprocess,84611,0
lohit-gujarati-fonts,84367,0
openblas,83482,0
mailcap,82923,0
fedora-third-party,81700,0
libertas-usb8388-firmware,81344,0
xml-common,80280,0
perl-Error,79070,0
google-noto-sans-thai-vf-fonts,78892,0
libwbclient,76060,0
flexiblas,74579,0
gnome-shell-extension-window-list,74197,0
hicolor-icon-theme,73932,0
perl-overload,73038,0
google-noto-sans-lao-vf-fonts,71307,0
fpaste,69646,0
container-selinux,68769,0
publicsuffix-list-dafsa,67897,0
perl-Time-Local,67019,0
perl-Git,65541,0
perl-File-Path,65002,0
livesys-scripts,63790,0
geocode-glib-data,63586,0
python3-bytesize,61666,0
lohit-tamil-fonts,60667,0
gnome-shell-extension-background-logo,59656,0
libgfxdr0,57912,0
google-noto-sans-hebrew-vf-fonts,55728,0
perl-Exporter,55219,0
libreport-fedora,54755,0
fros,50686,0
python3-urllib3+socks,49629,0
grubby,48970,0
gnome-themes-extra,48712,0
perl-Carp,47642,0
python3-louis,45793,0
qemu-user-static,45699,0
urw-base35-standard-symbols-ps-fonts,45248,0
zd1211-firmware,44600,0
python3-requests-ftp,44579,0
python3-pid,42428,0
perl-File-Find,39534,0
dnf-data,39236,0
dracut-live,38942,0
vpnc-script,38674,0
urw-base35-fonts-common,38280,0
cifs-utils-info,38199,0
abrt-addon-vmcore,38071,0
perl-Digest,36060,0
google-noto-sans-armenian-vf-fonts,35765,0
sssd,35147,0
elfutils-libelf-devel,34588,0
python3-nftables,34420,0
perl-DynaLoader,33832,0
google-noto-sans-thaana-vf-fonts,32375,0
b43-openfwwf,31549,0
libxcrypt-devel,30995,0
python3-file-magic,30672,0
perl-Term-Cap,29957,0
python3-meh-gui,29695,0
perl-Class-Struct,26954,0
perl-constant,26840,0
plymouth-scripts,25939,0
selinux-policy,25743,0
libreoffice-emailmerge,25551,0
perl-Pod-Escapes,25476,0
perl-IPC-Open3,24966,0
perl-Text-Tabs+Wrap,23928,0
gnome-shell-extension-apps-menu,23818,0
dnf-plugins-core,22934,0
anaconda-live,22872,0
yum,22235,0
perl-AutoLoader,22037,0
gnome-shell-extension-places-menu,21142,0
copy-jdk-configs,20756,0
bind-license,19672,0
libreport-anaconda,19635,0
python3-abrt-addon,19482,0
fedora-chromium-config-gssapi,18753,0
hyperv-daemons-license,18693,0
fedora-chromium-config-gnome,18203,0
google-noto-fonts-common,18083,0
vim-data,18066,0
fedora-chromium-config,18047,0
tigervnc-license,18000,0
fedora-release-common,17464,0
fros-gnome,16114,0
gnome-session-wayland-session,15851,0
gnome-session-xsession,15745,0
perl-File-Basename,15340,0
tesseract-tessdata-doc,15313,0
pkgconf-m4,14187,0
perl-File-stat,13946,0
perl-Text-ParseWords,13839,0
perl-base,13820,0
python3-requests-file,12750,0
flatpak-selinux,12507,0
liberation-fonts-common,12495,0
fedora-logos-httpd,12351,0
perl-Getopt-Std,12305,0
dbus-common,11504,0
wireless-regdb,11355,0
perl-FileHandle,10530,0
perl-parent,9959,0
perl-lib,9673,0
perl-Errno,9507,0
kasumi-common,9124,0
perl-Symbol,7954,0
perl-locale,7370,0
perl-if,6896,0
perl-Mozilla-CA,6187,0
perl-overloading,5894,0
initscripts-service,5832,0
urw-base35-fonts,5478,0
fedora-flathub-remote,5257,0
perl-vars,4927,0
fedora-repos,4597,0
fedora-repos-modular,4042,0
dracut-config-rescue,3755,0
mesa-filesystem,3682,0
ghostscript-tools-printing,3553,0
perl-SelectSaver,3171,0
dracut-squash,3100,0
ghostscript-tools-fonts,2531,0
fedora-release-identity-workstation,2206,0
javapackages-filesystem,1932,0
elfutils-default-yama-scope,1810,0
fedora-workstation-repositories,1530,0
qt-settings,1164,0
gnome-shell-extension-launch-new-instance,1007,0
pkgconf-pkg-config,990,0
rootfiles,817,0
f38-backgrounds-gnome,706,0
nano-default-editor,514,0
mariadb-connector-c-config,497,0
libvirt-daemon-config-network,470,0
httpd-filesystem,464,0
langpacks-en,400,0
langpacks-core-en,398,0
desktop-backgrounds-gnome,361,0
langpacks-core-font-en,351,0
zram-generator-defaults,320,0
NetworkManager-config-connectivity-fedora,310,0
libssh-config,277,0
firewalld-filesystem,239,0
systemd-oomd-defaults,187,0
color-filesystem,151,0
filesystem,106,0
qt5-qtbase-common,78,0
qt6-qtbase-common,74,0
fuse-common,38,0
web-assets-filesystem,34,0
pipewire-jack-audio-connection-kit,30,0
python-unversioned-command,23,0
